x,y,Texture,PH,CEC,Nitrogen,Carbon,Temp,Rainfall,Slope,DEM,NDVI,LULC,LST,Suitability
36.58108731,-0.074085634,3,1,4,4,4,4,3,4,2,2,1,4,2
36.54569146,0.086506333,3,1,4,4,4,4,4,3,2,3,4,3,3
36.57976172,-0.068704454,3,1,4,4,4,4,3,4,2,3,1,4,2
36.56717971,-0.068216366,3,1,4,4,4,4,3,4,2,3,3,4,3
36.57386897,-0.072508464,3,1,4,4,4,4,3,4,2,2,1,4,2
36.59398177,0.060985371,3,1,4,4,4,4,4,4,2,3,4,3,3
36.519673,0.072114156,3,1,4,4,4,4,4,4,2,3,3,3,3
36.58116297,0.082427528,3,1,4,4,4,4,4,4,3,3,3,3,3
36.53179759,0.068820547,3,1,4,4,4,4,4,3,2,3,4,3,3
36.59610981,-0.040631187,3,1,4,4,4,4,3,4,2,3,4,3,3
36.59237849,-0.035095823,3,1,4,4,4,4,3,3,2,3,4,3,3
36.57035986,-0.050699484,3,1,4,4,4,4,3,4,2,3,4,4,3
36.59930423,0.022173158,3,1,4,4,4,4,4,3,2,3,3,3,3
36.56263882,0.068418027,3,1,4,4,4,4,4,4,2,2,3,3,3
36.55010081,0.069653445,3,1,4,4,4,4,4,4,2,3,3,3,3
36.568608,-0.055565369,3,1,4,4,4,4,3,4,2,3,3,4,3
36.57060867,-0.060095901,3,1,4,4,4,4,3,3,2,3,3,4,3
36.59838847,-0.029581186,3,1,4,4,4,4,3,4,2,3,4,3,3
36.60215049,0.04831581,3,1,4,4,4,4,4,3,2,3,3,3,3
36.572153,-0.050628409,3,1,4,4,4,4,3,4,2,3,4,4,3
36.58291767,-0.082864685,3,1,4,4,4,4,3,4,2,3,3,4,3
36.61566874,0.071386173,2,3,4,4,4,4,4,3,3,2,4,2,3
36.54477002,0.063208839,3,1,4,4,4,4,4,4,2,3,3,3,3
36.60854375,-0.072601902,3,1,4,4,4,4,3,3,2,3,3,3,2
36.57775906,0.089463922,3,1,4,4,4,4,4,3,3,3,3,3,3
36.56184531,0.091759628,3,1,4,4,4,4,4,3,3,3,2,3,3
36.56008655,0.08981408,3,1,4,4,4,4,4,4,3,3,3,3,3
36.52776195,0.08703672,3,1,4,4,4,4,4,4,2,4,3,3,3
36.55921596,0.099093856,3,1,4,4,4,4,4,4,3,3,3,3,3
36.56033793,0.099299324,3,1,4,4,4,4,4,4,3,3,3,3,3
36.57334256,0.09659483,3,1,4,4,4,4,4,4,3,3,3,3,3
36.43711329,0.100993799,2,3,3,4,4,4,4,3,2,3,3,4,3
36.76247542,-0.082244913,3,1,4,4,4,4,4,4,2,3,4,3,3
36.76342484,-0.067330761,2,1,4,4,4,4,3,4,2,3,4,3,3
36.745634,-0.025193524,3,1,4,3,4,4,4,4,2,2,3,2,2
36.79137075,-0.020035168,3,1,4,3,4,4,4,3,3,3,3,3,3
36.72955689,0.052958065,2,3,4,4,4,4,4,4,3,3,4,3,4
36.78263245,-0.069297782,2,1,4,4,4,4,3,4,2,3,2,3,2
36.65581036,-0.026146967,4,3,4,4,4,4,4,4,2,3,4,3,4
36.68169105,0.064117452,2,3,4,4,4,4,4,4,3,3,4,3,4
36.72652848,-0.048267581,2,3,4,4,4,4,4,4,2,3,3,3,3
36.78352946,0.011264716,2,3,4,4,4,4,4,4,3,3,4,3,4
36.62826058,-0.045915115,3,1,4,3,4,4,3,4,2,3,4,3,3
36.63213538,-0.057590989,3,1,4,3,4,4,3,4,2,3,4,3,3
36.78597834,-0.002111311,2,3,4,4,4,4,4,4,3,3,3,3,4
36.76702046,-0.080160102,2,1,4,4,4,4,4,3,2,3,4,3,3
36.62743333,-0.034631061,3,1,4,3,4,4,4,4,2,3,4,3,3
36.65330002,-0.038403705,4,3,4,4,4,4,4,4,2,3,3,3,4
36.62174012,0.056085518,2,3,4,4,4,4,4,4,2,3,4,3,4
36.66044021,0.027559793,2,3,4,4,4,4,4,4,2,3,4,3,4
